Date_1,Description_1,Deposits,Withdrawls,Balance
Sep,Reversal,0,28057.59,252518.27
Oct,NEFT,0,50503.65,202014.62
Nov,RTGS,0,202014.62,0
Dec,IMPS,936277,0,936277
Jan,Cash,0,93627.7,842649.3
Feb,Debit Card,2470.4,0,845119.7
Mar,Bill,0,211279.93,633839.77
Apr,Reversal,0,211279.92,422559.85
May,Tax,0,42255.99,380303.86
Jun,Debit Card,6,0,380309.86
Jul,Interest,0,54329.98,325979.88
Aug,Tax,0,40747.49,285232.4
Sep,Reversal,753112,0,1038344.4
Oct,Cheque,0,207668.88,830675.52
Nov,RTGS,5,0,830680.52
Dec,ATM,45.5,0,830726.02
Jan,NEFT,0,118675.15,712050.87
Feb,Bill,6,0,712056.87
Mar,Cheque,0,89007.11,623049.76
Apr,Commission,3.05,0,623052.81
May,RTGS,249958,0,873010.81
Jun,Interest,0,97001.2,776009.61
Jul,Transfer,0,155201.92,620807.69
Aug,Bill,0,103467.95,517339.74
Sep,ATM,6.56,0,517346.3
Oct,Cash,0,172448.77,344897.53
Nov,Cash,0,57482.92,287414.61
Dec,RTGS,49.03,0,287463.64
Jan,RTGS,2.7,0,287466.34
Feb,Tax,0,143733.17,143733.17
Mar,Tax,0,15970.35,127762.82
Apr,IMPS,0,12776.28,114986.54
May,IMPS,0,12776.28,102210.26
Jun,Bill,0,20442.05,81768.21
Jul,Reversal,5,0,81773.21
Aug,Purchase,0,10221.65,71551.56
Sep,ATM,1517,0,73068.56
Oct,Purchase,58.32,0,73126.88
Nov,NEFT,498.1,0,73624.98
Dec,Commission,0,18406.25,55218.74
Jan,Bill,0,27609.37,27609.37
Feb,Bill,1477,0,29086.37
Mar,Commission,24177.48,0,53263.85
Apr,ATM,16117,0,69380.85
May,Cash,1.2,0,69382.05
Jun,IMPS,0,34691.03,34691.02
Jul,Interest,75165.2,0,109856.22
Aug,Reversal,0,21971.24,87884.98
Sep,Cash,31.9,0,87916.88
Oct,Miscellaneous,0,12559.55,75357.33
Nov,Reversal,0,7535.73,67821.6
Dec,Interest,0,22607.2,45214.4
Jan,Miscellaneous,0,45214.4,0
Feb,ATM,232149.8,0,232149.8
Mar,NEFT,14076,0,246225.8
Apr,Purchase,0,82075.27,164150.53
May,NEFT,53.9,0,164204.43
Jun,RTGS,2062993.25,0,2227197.68
Jul,Commission,0,371199.61,1855998.07
Aug,Commission,0,309333.01,1546665.06
Sep,Transfer,0,220952.15,1325712.91
Oct,Bill,0,220952.15,1104760.76
Nov,Cash,669526,0,1774286.76
Dec,Cheque,0,197142.97,1577143.79
Jan,Reversal,0,315428.76,1261715.03
Feb,ATM,924215,0,2185930.03
Mar,Interest,0,2185930.03,0
Apr,IMPS,21,0,21
May,Transfer,214646.3,0,214667.3
Jun,ATM,7,0,214674.3
Jul,Commission,32457.5,0,247131.8
Aug,Miscellaneous,0,30891.48,216240.32
Sep,Cash,5.69,0,216246.01
Oct,RTGS,0,72082,144164.01
Nov,Debit Card,0,48054.67,96109.34
Dec,RTGS,156073.34,0,252182.68
Jan,Bill,339.9,0,252522.58
Feb,Transfer,4.84,0,252527.42
Mar,RTGS,0,84175.81,168351.61
Apr,Reversal,0,24050.23,144301.38
May,Debit Card,14685.55,0,158986.93
Jun,Reversal,31268,0,190254.93
Jul,RTGS,0,95127.47,95127.46
Aug,Bill,22270.3,0,117397.76
Sep,Commission,17631.5,0,135029.26
Oct,NEFT,0,13502.93,121526.33
Nov,Interest,204.5,0,121730.83
Dec,Transfer,18582.6,0,140313.43
Jan,Purchase,39.1,0,140352.53
Feb,NEFT,1164.08,0,141516.61
Mar,Tax,0,47172.2,94344.41
Apr,NEFT,658.17,0,95002.58
May,Bill,0,95002.58,0
Jun,NEFT,561068,0,561068
Jul,Miscellaneous,0,112213.6,448854.4
Aug,Purchase,2468,0,451322.4
Sep,Cash,0,90264.48,361057.92
Oct,Tax,0,120352.64,240705.28
Nov,Commission,0,26745.03,213960.25
Dec,RTGS,0,23773.36,190186.89
Jan,Bill,0,190186.89,0
Feb,Reversal,56146.28,0,56146.28
Mar,Reversal,0,9357.71,46788.57
Apr,Miscellaneous,0,15596.19,31192.38
May,Reversal,1576,0,32768.38
Jun,Cash,4887.83,0,37656.21
Jul,NEFT,0,4184.02,33472.19
Aug,NEFT,0,3719.13,29753.06
Sep,IMPS,0,4250.44,25502.62
Oct,Miscellaneous,5.36,0,25507.98
Nov,Purchase,0,8502.66,17005.32
Dec,Transfer,0,8502.66,8502.66
Jan,Debit Card,0,2834.22,5668.44
Feb,Cheque,234,0,5902.44
Mar,Tax,655045,0,660947.44
Apr,Debit Card,0,132189.49,528757.95
May,Interest,0,264378.98,264378.97
Jun,Tax,49,0,264427.97
Jul,Cheque,18194,0,282621.97
Aug,Commission,96151,0,378772.97
Sep,Interest,0,42085.89,336687.08
Oct,Purchase,485.86,0,337172.94
Nov,Commission,0,67434.59,269738.35
Dec,Tax,0,89912.78,179825.57
Jan,Cheque,147,0,179972.57
Feb,Bill,57.96,0,180030.53
Mar,Cheque,0,18003.05,162027.48
Apr,RTGS,0,162027.48,0
May,Bill,2558.2,0,2558.2
Jun,Interest,2600.7,0,5158.9
Jul,Reversal,0,515.89,4643.01
Aug,Tax,0,2321.51,2321.5
Sep,Tax,0,257.94,2063.56
Oct,NEFT,0,257.95,1805.62
Nov,NEFT,0,902.81,902.81
Dec,Tax,17757,0,18659.81
Jan,Bill,0,1865.98,16793.83
Feb,ATM,0,2099.23,14694.6
Mar,Debit Card,1765,0,16459.6
Apr,Cash,9391.34,0,25850.94
May,ATM,53,0,25903.94
Jun,Commission,0,25903.94,0
Jul,Purchase,4089,0,4089
Aug,Transfer,0,584.14,3504.86
Sep,Debit Card,0,584.14,2920.72
Oct,IMPS,0,324.52,2596.2
Nov,ATM,80541,0,83137.2
Dec,Debit Card,12207.01,0,95344.21
Jan,Bill,24114.2,0,119458.41
Feb,NEFT,0,59729.21,59729.2
Mar,Debit Card,0,29864.6,29864.6
Apr,Bill,1470,0,31334.6
May,Interest,1597.3,0,32931.9
Jun,Transfer,0,4116.49,28815.41
Jul,Transfer,1415.3,0,30230.71
Aug,Tax,5.6,0,30236.31
Sep,Cheque,247908,0,278144.31
Oct,Debit Card,0,92714.77,185429.54
Nov,Tax,0,26489.93,158939.61
Dec,Tax,403,0,159342.61
Jan,ATM,0,19917.83,139424.78
Feb,NEFT,0,34856.2,104568.58
Mar,Bill,32382,0,136950.58
Apr,Interest,6.7,0,136957.28
May,Transfer,218711,0,355668.28
Jun,ATM,0,355668.28,0
Jul,Tax,17299.3,0,17299.3
Aug,Commission,13481.5,0,30780.8
Sep,RTGS,0,30780.8,0
Oct,Purchase,7.16,0,7.16
Nov,IMPS,0,1.02,6.14
Dec,RTGS,6.98,0,13.12
Jan,Cheque,63.3,0,76.42
Feb,IMPS,0,12.74,63.68
Mar,NEFT,546890,0,546953.68
Apr,Bill,243884.72,0,790838.4
May,Transfer,5037.68,0,795876.08
Jun,IMPS,260729,0,1056605.08
Jul,Reversal,0,528302.54,528302.54
Aug,Cash,0,264151.27,264151.27
Sep,Debit Card,3849,0,268000.27
Oct,Interest,3028.5,0,271028.77
Nov,Tax,0,45171.46,225857.31
Dec,ATM,1201.5,0,227058.81
Jan,ATM,57.6,0,227116.41
Feb,RTGS,0,56779.1,170337.31
Mar,Transfer,0,24333.9,146003.41
Apr,Cheque,1.2,0,146004.61
May,Cash,608444,0,754448.61
Jun,Commission,1822,0,756270.61
Jul,IMPS,0,378135.31,378135.3
Aug,Reversal,0,54019.33,324115.97
Sep,Miscellaneous,148962.9,0,473078.87
Oct,Transfer,1186.4,0,474265.27
Nov,Commission,0,59283.16,414982.11
Dec,IMPS,1660388.8,0,2075370.91
Jan,IMPS,57.4,0,2075428.31
Feb,Cash,0,1037714.16,1037714.16
Mar,Miscellaneous,31,0,1037745.16
Apr,Cheque,0,172957.53,864787.63
May,ATM,0,123541.09,741246.54
Jun,NEFT,65880,0,807126.54
Jul,Interest,0,201781.64,605344.9
Aug,Cash,494.83,0,605839.73
Sep,Bill,3536,0,609375.73
Oct,NEFT,0,67708.41,541667.32
Nov,Purchase,6,0,541673.32
Dec,Bill,180559.7,0,722233.02
Jan,Cash,220568,0,942801.02
Feb,Reversal,1107811.2,0,2050612.22
Mar,IMPS,0,512653.06,1537959.16
Apr,Bill,29.4,0,1537988.56
May,Transfer,143399.8,0,1681388.36
Jun,Commission,194.1,0,1681582.46
Jul,IMPS,0,210197.81,1471384.65
Aug,Cash,0,147138.47,1324246.18
Sep,Miscellaneous,5157,0,1329403.18
Oct,Bill,0,189914.74,1139488.44
Nov,RTGS,162.76,0,1139651.2
Dec,Bill,3.1,0,1139654.3
Jan,Reversal,144930.6,0,1284584.9
Feb,IMPS,34.63,0,1284619.53
Mar,Reversal,0,321154.88,963464.65
Apr,Commission,31.5,0,963496.15
May,Bill,0,107055.13,856441.02
Jun,Bill,0,142740.17,713700.85
Jul,NEFT,112441,0,826141.85
Aug,NEFT,187519.6,0,1013661.45
Sep,RTGS,1544042.5,0,2557703.95
Oct,Purchase,0,426283.99,2131419.96
Nov,Interest,198352.5,0,2329772.46
Dec,IMPS,223506,0,2553278.46
Jan,Bill,0,638319.62,1914958.84
Feb,Cheque,0,319159.81,1595799.03
Mar,Transfer,591.7,0,1596390.73
Apr,Commission,1111491,0,2707881.73
May,Bill,0,902627.24,1805254.49
Jun,RTGS,24937.38,0,1830191.87
Jul,Cheque,0,457547.97,1372643.9
Aug,Tax,184050.7,0,1556694.6
Sep,Cheque,22,0,1556716.6
Oct,Interest,122.2,0,1556838.8
Nov,Cash,1455.1,0,1558293.9
Dec,RTGS,0,779146.95,779146.95
Jan,Cheque,157.47,0,779304.42
Feb,NEFT,0,97413.05,681891.37
Mar,Transfer,0,85236.42,596654.95
Apr,Reversal,32420.43,0,629075.38
May,Bill,0,62907.54,566167.84
Jun,NEFT,0,188722.61,377445.23
Jul,NEFT,0,37744.52,339700.71
Aug,Cheque,40474,0,380174.71
Sep,Cheque,0,54310.67,325864.04
Oct,IMPS,9877,0,335741.04
Nov,Transfer,0,33574.1,302166.94
Dec,ATM,0,30216.69,271950.25
Jan,Transfer,0,90650.08,181300.17
Feb,Reversal,0,25900.02,155400.15
Mar,Tax,18300.27,0,173700.42
Apr,IMPS,0,43425.11,130275.32
May,Debit Card,0,65137.66,65137.66
Jun,RTGS,0,32568.83,32568.83
Jul,Reversal,0,16284.42,16284.42
Aug,ATM,30287,0,46571.42
Sep,NEFT,218795.7,0,265367.12
Oct,Commission,0,37909.59,227457.53
Nov,Transfer,0,25273.06,202184.47
Dec,RTGS,7,0,202191.47
Jan,Interest,0,25273.93,176917.54
Feb,Bill,0,17691.75,159225.79
Mar,Purchase,0,22746.54,136479.25
Apr,Bill,369,0,136848.25
May,Interest,202.47,0,137050.72
Jun,Bill,0,15227.86,121822.86
Jul,Commission,4,0,121826.86
Aug,Reversal,482.3,0,122309.16
Sep,Transfer,7.8,0,122316.96
Oct,Reversal,1510102.2,0,1632419.16
Nov,NEFT,0,816209.58,816209.58
Dec,Cash,0,272069.86,544139.72
Jan,Transfer,1914889.5,0,2459029.22
Feb,Debit Card,0,245902.92,2213126.3
Mar,Cheque,0,737708.77,1475417.53
Apr,Debit Card,0,491805.84,983611.69
May,Miscellaneous,179.6,0,983791.29
Jun,Interest,23452.9,0,1007244.19
Jul,Purchase,21964.97,0,1029209.16
Aug,Reversal,366.39,0,1029575.55
Sep,Interest,0,147082.22,882493.33
Oct,Purchase,0,882493.33,0
Nov,Commission,93929,0,93929
Dec,ATM,1980.1,0,95909.1
Jan,Transfer,24624,0,120533.1
Feb,Miscellaneous,0,17219.01,103314.09
Mar,Cheque,0,34438.03,68876.06
Apr,Purchase,1181375.75,0,1250251.81
May,Cheque,0,125025.18,1125226.63
Jun,Cheque,2.1,0,1125228.73
Jul,IMPS,0,375076.24,750152.49
Aug,Debit Card,27255.8,0,777408.29
Sep,Reversal,584944,0,1362352.29
Oct,Cash,0,340588.07,1021764.22
Nov,Commission,1794,0,1023558.22
Dec,ATM,252.6,0,1023810.82
Jan,NEFT,6.1,0,1023816.92
Feb,NEFT,397867.25,0,1421684.17
Mar,IMPS,503.33,0,1422187.5
Apr,Cash,0,237031.25,1185156.25
May,Purchase,1182.14,0,1186338.39
Jun,IMPS,0,118633.84,1067704.55
Jul,Transfer,0,133463.07,934241.48
Aug,Interest,29,0,934270.48
Sep,Reversal,0,93427.05,840843.43
Oct,Transfer,0,140140.57,700702.86
Nov,Tax,0,140140.57,560562.29
Dec,Bill,0,140140.57,420421.72
Jan,Cheque,0,105105.43,315316.29
Feb,Debit Card,27911.3,0,343227.59
Mar,ATM,0,114409.2,228818.39
Apr,Purchase,2651.66,0,231470.05
May,Tax,0,33067.15,198402.9
Jun,Cash,15068,0,213470.9
Jul,IMPS,0,71156.97,142313.93
Aug,Tax,1736261,0,1878574.93
Sep,Reversal,3.4,0,1878578.33
Oct,Bill,46.9,0,1878625.23
Nov,Cheque,81164,0,1959789.23
Dec,Cheque,2129,0,1961918.23
Jan,Interest,0,326986.37,1634931.86
Feb,Tax,0,1634931.86,0
Mar,Commission,526.5,0,526.5
Apr,Bill,0,175.5,351
May,Interest,4.1,0,355.1
Jun,Tax,118212,0,118567.1
Jul,Purchase,0,19761.18,98805.92
Aug,Debit Card,3159,0,101964.92
Sep,IMPS,1.5,0,101966.42
Oct,RTGS,30487,0,132453.42
Nov,Tax,0,66226.71,66226.71
Dec,Miscellaneous,7,0,66233.71
Jan,RTGS,4.7,0,66238.41
Feb,Cash,0,33119.21,33119.2
Mar,Miscellaneous,95695,0,128814.2
Apr,Bill,0,32203.55,96610.65
May,Transfer,0,13801.52,82809.13
Jun,Bill,0,9201.01,73608.12
Jul,Interest,1174755,0,1248363.12
Aug,NEFT,6036.36,0,1254399.48
Sep,NEFT,134223,0,1388622.48
Oct,Cash,6417.69,0,1395040.17
Nov,Interest,4,0,1395044.17
Dec,Miscellaneous,15041.7,0,1410085.87
Jan,Purchase,0,705042.94,705042.94
Feb,Debit Card,0,100720.42,604322.52
Mar,Debit Card,31514.39,0,635836.91
Apr,Cash,0,317918.46,317918.46
May,Purchase,7.04,0,317925.5
Jun,IMPS,0,105975.17,211950.33
Jul,Bill,476.95,0,212427.28
Aug,Purchase,1139951.75,0,1352379.03
Sep,Transfer,0,676189.52,676189.52
Oct,Cash,0,75132.17,601057.35
Nov,NEFT,33497.88,0,634555.23
Dec,Bill,0,79319.4,555235.83
Jan,Transfer,0,185078.61,370157.22
Feb,Cheque,0,185078.61,185078.61
Mar,Purchase,0,26439.8,158638.81
Apr,Debit Card,0,39659.7,118979.11
May,Tax,3,0,118982.11
Jun,Miscellaneous,27781.43,0,146763.54
Jul,Bill,0.81,0,146764.35
Aug,ATM,0,29352.87,117411.48
Sep,Purchase,0,13045.72,104365.76
Oct,Miscellaneous,69.3,0,104435.06
Nov,Commission,0,14919.29,89515.77
Dec,Commission,0,12787.97,76727.8
Jan,Debit Card,0,8525.31,68202.49
Feb,Tax,1557.3,0,69759.79
Mar,Debit Card,0,34879.9,34879.89
Apr,Commission,38.4,0,34918.29
May,IMPS,125529.6,0,160447.89
Jun,ATM,0,32089.58,128358.31
Jul,Reversal,4463.1,0,132821.41
Aug,Commission,0,13282.14,119539.27
Sep,Cheque,0,13282.14,106257.13
Oct,Purchase,1975.1,0,108232.23
Nov,Miscellaneous,3655.22,0,111887.45
Dec,NEFT,96.15,0,111983.6
Jan,Interest,6.9,0,111990.5
Feb,Commission,7.24,0,111997.74
Mar,RTGS,8827,0,120824.74
Apr,Tax,24.6,0,120849.34
May,Tax,0,17264.19,103585.15
Jun,Miscellaneous,13617,0,117202.15
Jul,NEFT,0,117202.15,0
Aug,Reversal,995.1,0,995.1
Sep,Purchase,0,497.55,497.55
Oct,RTGS,2,0,499.55
Nov,Purchase,4,0,503.55
Dec,Cheque,431.07,0,934.62
Jan,Cheque,457939.5,0,458874.12
Feb,RTGS,22675.8,0,481549.92
Mar,Reversal,2780.7,0,484330.62
Apr,Reversal,5.7,0,484336.32
May,Purchase,0,69190.9,415145.42
Jun,Purchase,0,59306.49,355838.93
Jul,IMPS,1468,0,357306.93
Aug,Cheque,7250.31,0,364557.24
Sep,Miscellaneous,0,91139.31,273417.93
Oct,Miscellaneous,0.59,0,273418.52
Nov,Purchase,2754.3,0,276172.82
Dec,Miscellaneous,154,0,276326.82
Jan,Miscellaneous,2.34,0,276329.16
Feb,IMPS,0,46054.86,230274.3
Mar,Cash,58,0,230332.3
Apr,Miscellaneous,0,28791.54,201540.76
May,Transfer,0,40308.15,161232.61
Jun,IMPS,0,26872.1,134360.51
Jul,Cash,0,14928.95,119431.56
Aug,Transfer,0,14928.95,104502.62
Sep,ATM,255354.5,0,359857.12
Oct,Interest,0,71971.42,287885.7
Nov,IMPS,15.8,0,287901.5
Dec,ATM,1663776,0,1951677.5
Jan,Cash,0,216853.06,1734824.44
Feb,Debit Card,0,346964.89,1387859.55
Mar,Interest,40.52,0,1387900.07
Apr,Debit Card,189,0,1388089.07
May,Miscellaneous,1.4,0,1388090.47
Jun,Purchase,0,347022.62,1041067.85
Jul,NEFT,52.37,0,1041120.22
Aug,Purchase,0,520560.11,520560.11
Sep,NEFT,0,130140.03,390420.08
Oct,Commission,0,130140.03,260280.05
Nov,NEFT,2510.6,0,262790.65
Dec,Interest,0,37541.52,225249.13
Jan,Debit Card,0,225249.13,0
Feb,Transfer,14135.2,0,14135.2
Mar,IMPS,588032,0,602167.2
Apr,Cheque,0,86023.89,516143.31
May,NEFT,7.01,0,516150.32
Jun,Debit Card,40.36,0,516190.68
Jul,Interest,0.3,0,516190.98
Aug,Purchase,0,516190.98,0
Sep,Reversal,1960828,0,1960828
Oct,Bill,31984.8,0,1992812.8
Nov,Transfer,0,332135.47,1660677.33
Dec,Cheque,1412017.75,0,3072695.08
Jan,Debit Card,23783.4,0,3096478.48
Feb,IMPS,0,387059.81,2709418.67
Mar,IMPS,0,541883.73,2167534.94
Apr,NEFT,0,433506.99,1734027.95
May,Tax,0,346805.59,1387222.36
Jun,Miscellaneous,0,198174.62,1189047.74
Jul,Cheque,0,132116.42,1056931.32
Aug,Miscellaneous,1089080,0,2146011.32
Sep,Miscellaneous,0,536502.83,1609508.49
Oct,Tax,0,201188.56,1408319.93
Nov,Cash,0,201188.56,1207131.37
Dec,ATM,463.9,0,1207595.27
Jan,Cheque,5,0,1207600.27
Feb,Cheque,1500.3,0,1209100.57
Mar,RTGS,933346,0,2142446.57
Apr,RTGS,0,214244.66,1928201.91
May,Transfer,0,385640.38,1542561.53
Jun,Bill,5264.55,0,1547826.08
Jul,RTGS,1370381,0,2918207.08
Aug,Bill,1583281,0,4501488.08
Sep,Debit Card,0,450148.81,4051339.27
Oct,Debit Card,0,1350446.42,2700892.85
Nov,RTGS,0,1350446.43,1350446.42
Dec,Tax,3525.38,0,1353971.8
Jan,Commission,3600,0,1357571.8
Feb,Debit Card,1682249.2,0,3039821
Mar,RTGS,0,379977.63,2659843.38
Apr,ATM,2306.7,0,2662150.08
May,Miscellaneous,3785.92,0,2665936
Jun,Bill,0,380848,2285088
Jul,Purchase,7,0,2285095
Aug,Reversal,0,380849.17,1904245.83
Sep,ATM,0,380849.17,1523396.66
Oct,NEFT,2678.5,0,1526075.16
Nov,RTGS,36.7,0,1526111.86
Dec,Reversal,0,763055.93,763055.93
Jan,Reversal,0,152611.19,610444.74
Feb,Debit Card,0,203481.58,406963.16
Mar,Cash,2782.6,0,409745.76
Apr,Purchase,0,102436.44,307309.32
May,Debit Card,4060.39,0,311369.71
Jun,NEFT,0,31136.97,280232.74
Jul,Reversal,1707567,0,1987799.74
Aug,Interest,309.4,0,1988109.14
Sep,Tax,180192.1,0,2168301.24
Oct,Commission,0,216830.12,1951471.12
Nov,Transfer,0,1951471.12,0
Dec,RTGS,8,0,8
Jan,Transfer,0,1.6,6.4
Feb,Interest,146,0,152.4
Mar,NEFT,35,0,187.4
Apr,ATM,0,62.47,124.93
May,NEFT,0,12.49,112.44
Jun,Bill,212192,0,212304.44
Jul,Bill,0,26538.06,185766.38
Aug,Bill,240.1,0,186006.48
Sep,IMPS,0,20667.39,165339.09
Oct,Bill,88604,0,253943.09
Nov,RTGS,0,253943.09,0
Dec,Reversal,163377.84,0,163377.84
Jan,Interest,0,20422.23,142955.61
Feb,ATM,75052.53,0,218008.14
Mar,Tax,4,0,218012.14
Apr,ATM,494.37,0,218506.51
May,Reversal,94609,0,313115.51
Jun,Commission,1.18,0,313116.69
Jul,Bill,0,31311.67,281805.02
Aug,Bill,2421,0,284226.02
Sep,Bill,0,284226.02,0
Oct,Debit Card,509.4,0,509.4
Nov,Transfer,165956,0,166465.4
Dec,Reversal,3782.2,0,170247.6
Jan,Interest,2056,0,172303.6
Feb,Interest,0,17230.36,155073.24
Mar,Cheque,3720,0,158793.24
Apr,Bill,0,52931.08,105862.16
May,RTGS,62,0,105924.16
Jun,Cash,0,11769.35,94154.81
Jul,RTGS,31,0,94185.81
Aug,IMPS,0.33,0,94186.14
Sep,Cheque,0,9418.61,84767.53
Oct,Miscellaneous,705363,0,790130.53
Nov,Cash,27.5,0,790158.03
Dec,ATM,52,0,790210.03
Jan,NEFT,0,87801.11,702408.92
Feb,NEFT,0,70240.89,632168.03
Mar,Cash,0,79021,553147.03
Apr,Purchase,70686.47,0,623833.5
May,Bill,0,69314.83,554518.67
Jun,NEFT,4047,0,558565.67
Jul,Purchase,172798.4,0,731364.07
Aug,Cheque,0,73136.41,658227.66
Sep,Debit Card,0,329113.83,329113.83
Oct,Cheque,0,47016.26,282097.57
Nov,ATM,698878,0,980975.57
Dec,Commission,3303,0,984278.57
Jan,Transfer,0,328092.86,656185.71
Feb,Interest,0,65618.57,590567.14
Mar,RTGS,560553,0,1151120.14
Apr,Debit Card,16419.7,0,1167539.84
May,Bill,0,116753.98,1050785.86
Jun,Bill,5,0,1050790.86
Jul,Bill,0,210158.17,840632.69
Aug,Bill,3326,0,843958.69
Sep,IMPS,2599.7,0,846558.39
Oct,Commission,0,169311.68,677246.71
Nov,Tax,0,96749.53,580497.18
Dec,RTGS,31,0,580528.18
Jan,ATM,0,193509.39,387018.79
Feb,Interest,6,0,387024.79
Mar,Tax,25.71,0,387050.5
Apr,Commission,437.2,0,387487.7
May,Miscellaneous,1756043.5,0,2143531.2
Jun,Reversal,4.12,0,2143535.32
Jul,Tax,7.31,0,2143542.63
Aug,RTGS,0,714514.21,1429028.42
Sep,Miscellaneous,0,357257.11,1071771.32
Oct,Commission,2.16,0,1071773.48
Nov,Bill,0,107177.35,964596.13
Dec,NEFT,0,964596.13,0
Jan,IMPS,6.3,0,6.3
Feb,Reversal,0,1.05,5.25
Mar,IMPS,0,1.75,3.5
Apr,Interest,2.81,0,6.31
May,Miscellaneous,0,0.63,5.68
Jun,Cheque,1755,0,1760.68
Jul,Commission,0,1760.68,0
Aug,IMPS,1630225.8,0,1630225.8
Sep,NEFT,24060.87,0,1654286.67
Oct,Reversal,207478.9,0,1861765.57
Nov,Commission,3,0,1861768.57
Dec,NEFT,0,265966.94,1595801.63
Jan,Bill,3468.6,0,1599270.23
Feb,IMPS,0,159927.02,1439343.21
Mar,Cheque,0,179917.9,1259425.31
Apr,Purchase,0,209904.22,1049521.09
May,Reversal,0,524760.55,524760.55
Jun,ATM,0,262380.28,262380.28
Jul,Cash,0,29153.36,233226.92
Aug,Cheque,5435,0,238661.92
Sep,Tax,0,119330.96,119330.96
Oct,Purchase,0,17047.28,102283.68
Nov,Cash,0,17047.28,85236.4
Dec,Bill,0,42618.2,42618.2
Jan,IMPS,379,0,42997.2
Feb,Cash,14,0,43011.2
Mar,Interest,0,4779.02,38232.18
Apr,Bill,2.16,0,38234.34
May,Miscellaneous,18.73,0,38253.07
